iter	Passed	Remaining
0	0	20
1	0	23
2	0	22
3	0	23
4	1	22
5	1	22
6	1	21
7	1	20
8	2	20
9	2	20
10	2	19
11	2	19
12	2	18
13	3	18
14	3	18
15	3	18
16	3	17
17	3	17
18	4	17
19	4	17
20	4	17
21	4	16
22	4	16
23	5	16
24	5	15
25	5	15
26	5	15
27	5	15
28	6	14
29	6	14
30	6	14
31	6	14
32	6	13
33	7	13
34	7	13
35	7	13
36	7	12
37	7	12
38	7	12
39	8	12
40	8	11
41	8	11
42	8	11
43	8	11
44	8	10
45	9	10
46	9	10
47	9	10
48	9	10
49	9	9
50	10	9
51	10	9
52	10	9
53	10	9
54	10	8
55	11	8
56	11	8
57	11	8
58	11	8
59	11	7
60	12	7
61	12	7
62	12	7
63	12	7
64	12	6
65	13	6
66	13	6
67	13	6
68	13	6
69	13	5
70	14	5
71	14	5
72	14	5
73	14	5
74	15	5
75	15	4
76	15	4
77	15	4
78	15	4
79	15	3
80	16	3
81	16	3
82	16	3
83	16	3
84	16	2
85	16	2
86	17	2
87	17	2
88	17	2
89	17	1
90	17	1
91	18	1
92	18	1
93	18	1
94	18	0
95	18	0
96	19	0
97	19	0
98	19	0
99	19	0
